,0,1,2
49,49,17.866999837986345,"(<function rbf.<locals>.rbf_fun at 0x7f08731c57b8>, <function rbf.<locals>.rbf_fun at 0x7f08731c5840>, <function rbf.<locals>.rbf_fun at 0x7f08731c59d8>)"
50,50,6.615518656120142,"(<function lin.<locals>.lin_fun at 0x7f08731c5510>, <function poly.<locals>.poly_fun at 0x7f08731c5bf8>, <function sig.<locals>.sig_fun at 0x7f08731c5ea0>)"
51,51,1.866947813644499,"(<function lin.<locals>.lin_fun at 0x7f08731d41e0>, <function poly.<locals>.poly_fun at 0x7f08731d4378>, <function rbf.<locals>.rbf_fun at 0x7f08731d4400>)"
52,52,1.275667510455051,"(<function lin.<locals>.lin_fun at 0x7f08731d4158>, <function lin.<locals>.lin_fun at 0x7f08731d47b8>, <function poly.<locals>.poly_fun at 0x7f08731d4840>)"
53,53,3.2004967912492757,"(<function rbf.<locals>.rbf_fun at 0x7f08731e9048>, <function rbf.<locals>.rbf_fun at 0x7f08731e90d0>, <function rbf.<locals>.rbf_fun at 0x7f08731e9268>)"
54,54,3.058264141864034,"(<function rbf.<locals>.rbf_fun at 0x7f08731e9620>, <function rbf.<locals>.rbf_fun at 0x7f08731e96a8>, <function rbf.<locals>.rbf_fun at 0x7f08731e9840>)"
55,55,15.404952580469308,"(<function sig.<locals>.sig_fun at 0x7f08731e9d08>, <function sig.<locals>.sig_fun at 0x7f08731e9d90>, <function sig.<locals>.sig_fun at 0x7f08731e9ea0>)"
56,56,25.41857410712144,"(<function rbf.<locals>.rbf_fun at 0x7f087317f268>, <function rbf.<locals>.rbf_fun at 0x7f087317f2f0>, <function rbf.<locals>.rbf_fun at 0x7f087317f488>)"
57,57,12.975115769975934,"(<function rbf.<locals>.rbf_fun at 0x7f087317f840>, <function rbf.<locals>.rbf_fun at 0x7f087317f8c8>, <function rbf.<locals>.rbf_fun at 0x7f087317fa60>)"
58,58,16.176843480852344,"(<function poly.<locals>.poly_fun at 0x7f087317fd08>, <function rbf.<locals>.rbf_fun at 0x7f087317fe18>, <function sig.<locals>.sig_fun at 0x7f087317ff28>)"
59,59,16.989827060714088,"(<function lin.<locals>.lin_fun at 0x7f087317fb70>, <function poly.<locals>.poly_fun at 0x7f087318f400>, <function sig.<locals>.sig_fun at 0x7f087318f598>)"
60,60,7.2597337567946285,"(<function lin.<locals>.lin_fun at 0x7f087318f1e0>, <function poly.<locals>.poly_fun at 0x7f087318f9d8>, <function rbf.<locals>.rbf_fun at 0x7f087318fa60>)"
61,61,11.711310492828796,"(<function rbf.<locals>.rbf_fun at 0x7f08731a40d0>, <function rbf.<locals>.rbf_fun at 0x7f08731a4158>, <function sig.<locals>.sig_fun at 0x7f08731a41e0>)"
62,62,2.646307372418487,"(<function lin.<locals>.lin_fun at 0x7f08731a4488>, <function poly.<locals>.poly_fun at 0x7f08731a4510>, <function sig.<locals>.sig_fun at 0x7f08731a47b8>)"
63,63,51.341044427911164,"(<function sig.<locals>.sig_fun at 0x7f08731a4d90>, <function sig.<locals>.sig_fun at 0x7f08731a4e18>, <function sig.<locals>.sig_fun at 0x7f08731a4f28>)"
64,64,17.123206537101424,"(<function rbf.<locals>.rbf_fun at 0x7f08731382f0>, <function rbf.<locals>.rbf_fun at 0x7f0873138378>, <function rbf.<locals>.rbf_fun at 0x7f0873138510>)"
65,65,7.322252838237766,"(<function sig.<locals>.sig_fun at 0x7f08731389d8>, <function sig.<locals>.sig_fun at 0x7f0873138a60>, <function sig.<locals>.sig_fun at 0x7f0873138b70>)"
66,66,13.366170207650484,"(<function rbf.<locals>.rbf_fun at 0x7f0873138ea0>, <function rbf.<locals>.rbf_fun at 0x7f0873138f28>, <function sig.<locals>.sig_fun at 0x7f0873148048>)"
67,67,23.327048055028154,"(<function sig.<locals>.sig_fun at 0x7f0873148620>, <function sig.<locals>.sig_fun at 0x7f08731486a8>, <function sig.<locals>.sig_fun at 0x7f08731487b8>)"
68,68,4.577369827670821,"(<function lin.<locals>.lin_fun at 0x7f0873148268>, <function lin.<locals>.lin_fun at 0x7f08731488c8>, <function poly.<locals>.poly_fun at 0x7f0873148950>)"
69,69,10.716222973208959,"(<function sig.<locals>.sig_fun at 0x7f087315e268>, <function sig.<locals>.sig_fun at 0x7f087315e2f0>, <function sig.<locals>.sig_fun at 0x7f087315e400>)"
70,70,14.527635386877847,"(<function sig.<locals>.sig_fun at 0x7f087315e840>, <function sig.<locals>.sig_fun at 0x7f087315e8c8>, <function sig.<locals>.sig_fun at 0x7f087315e9d8>)"
71,71,1.353960764283629,"(<function rbf.<locals>.rbf_fun at 0x7f087315ed08>, <function rbf.<locals>.rbf_fun at 0x7f087315ed90>, <function rbf.<locals>.rbf_fun at 0x7f087315ef28>)"
72,72,4.681364794518433,"(<function rbf.<locals>.rbf_fun at 0x7f087316c378>, <function sig.<locals>.sig_fun at 0x7f087316c488>, <function sig.<locals>.sig_fun at 0x7f087316c510>)"
73,73,2.9041728857252487,"(<function lin.<locals>.lin_fun at 0x7f087316c730>, <function rbf.<locals>.rbf_fun at 0x7f087316c950>, <function rbf.<locals>.rbf_fun at 0x7f087316c9d8>)"
74,74,12.501942120919383,"(<function lin.<locals>.lin_fun at 0x7f087316c6a8>, <function sig.<locals>.sig_fun at 0x7f08731030d0>, <function sig.<locals>.sig_fun at 0x7f0873103158>)"
75,75,6.057541347933557,"(<function rbf.<locals>.rbf_fun at 0x7f0873103598>, <function rbf.<locals>.rbf_fun at 0x7f0873103620>, <function rbf.<locals>.rbf_fun at 0x7f08731037b8>)"
76,76,7.575500925263554,"(<function sig.<locals>.sig_fun at 0x7f0873103c80>, <function sig.<locals>.sig_fun at 0x7f0873103d08>, <function sig.<locals>.sig_fun at 0x7f0873103e18>)"
77,77,15.452889667457454,"(<function poly.<locals>.poly_fun at 0x7f0873118048>, <function rbf.<locals>.rbf_fun at 0x7f08731181e0>, <function sig.<locals>.sig_fun at 0x7f08731182f0>)"
78,78,11.64663296419291,"(<function sig.<locals>.sig_fun at 0x7f08731188c8>, <function sig.<locals>.sig_fun at 0x7f0873118950>, <function sig.<locals>.sig_fun at 0x7f0873118a60>)"
79,79,4.578414512271873,"(<function lin.<locals>.lin_fun at 0x7f0873118b70>, <function poly.<locals>.poly_fun at 0x7f0873118c80>, <function poly.<locals>.poly_fun at 0x7f0873118d08>)"
80,80,15.124512361111641,"(<function lin.<locals>.lin_fun at 0x7f0873118ae8>, <function poly.<locals>.poly_fun at 0x7f0873127378>, <function rbf.<locals>.rbf_fun at 0x7f0873127400>)"
81,81,33.2777514512979,"(<function lin.<locals>.lin_fun at 0x7f0873127158>, <function poly.<locals>.poly_fun at 0x7f0873127840>, <function poly.<locals>.poly_fun at 0x7f0873127950>)"
82,82,10.204989120794085,"(<function sig.<locals>.sig_fun at 0x7f08730bb158>, <function sig.<locals>.sig_fun at 0x7f08730bb1e0>, <function sig.<locals>.sig_fun at 0x7f08730bb2f0>)"
83,83,18.15764796541411,"(<function rbf.<locals>.rbf_fun at 0x7f08730bb620>, <function rbf.<locals>.rbf_fun at 0x7f08730bb6a8>, <function rbf.<locals>.rbf_fun at 0x7f08730bb840>)"
84,84,8.029700631834121,"(<function sig.<locals>.sig_fun at 0x7f08730bbd08>, <function sig.<locals>.sig_fun at 0x7f08730bbd90>, <function sig.<locals>.sig_fun at 0x7f08730bbea0>)"
85,85,6.0046345103800265,"(<function sig.<locals>.sig_fun at 0x7f08730d1378>, <function sig.<locals>.sig_fun at 0x7f08730d1400>, <function sig.<locals>.sig_fun at 0x7f08730d1510>)"
86,86,5.535448426674431,"(<function rbf.<locals>.rbf_fun at 0x7f08730d1840>, <function rbf.<locals>.rbf_fun at 0x7f08730d18c8>, <function rbf.<locals>.rbf_fun at 0x7f08730d1a60>)"
87,87,15.478726119462237,"(<function rbf.<locals>.rbf_fun at 0x7f08730d1e18>, <function rbf.<locals>.rbf_fun at 0x7f08730d1ea0>, <function sig.<locals>.sig_fun at 0x7f08730d1f28>)"
88,88,2.2686863928553396,"(<function poly.<locals>.poly_fun at 0x7f08730e12f0>, <function poly.<locals>.poly_fun at 0x7f08730e1400>, <function rbf.<locals>.rbf_fun at 0x7f08730e1488>)"
89,89,1.1457268872656048,"(<function rbf.<locals>.rbf_fun at 0x7f08730e1a60>, <function rbf.<locals>.rbf_fun at 0x7f08730e1ae8>, <function rbf.<locals>.rbf_fun at 0x7f08730e1c80>)"
90,90,1.1263762022937305,"(<function lin.<locals>.lin_fun at 0x7f08730e1e18>, <function poly.<locals>.poly_fun at 0x7f0873077048>, <function rbf.<locals>.rbf_fun at 0x7f08730770d0>)"
91,91,6.6619786285775255,"(<function sig.<locals>.sig_fun at 0x7f08730777b8>, <function sig.<locals>.sig_fun at 0x7f0873077840>, <function sig.<locals>.sig_fun at 0x7f0873077950>)"
92,92,5.572373518411418,"(<function rbf.<locals>.rbf_fun at 0x7f0873077c80>, <function rbf.<locals>.rbf_fun at 0x7f0873077d08>, <function rbf.<locals>.rbf_fun at 0x7f0873077ea0>)"
93,93,0.6832741596028175,"(<function lin.<locals>.lin_fun at 0x7f08730840d0>, <function poly.<locals>.poly_fun at 0x7f08730841e0>, <function poly.<locals>.poly_fun at 0x7f0873084268>)"
94,94,123.76079976645404,"(<function poly.<locals>.poly_fun at 0x7f08730847b8>, <function poly.<locals>.poly_fun at 0x7f0873084840>, <function rbf.<locals>.rbf_fun at 0x7f08730848c8>)"
95,95,37.38223275821577,"(<function poly.<locals>.poly_fun at 0x7f0873084d08>, <function poly.<locals>.poly_fun at 0x7f0873084e18>, <function sig.<locals>.sig_fun at 0x7f087309a048>)"
96,96,4.5445461958815825,"(<function lin.<locals>.lin_fun at 0x7f087309a2f0>, <function poly.<locals>.poly_fun at 0x7f087309a400>, <function sig.<locals>.sig_fun at 0x7f087309a620>)"
97,97,10.743933958236658,"(<function sig.<locals>.sig_fun at 0x7f087309abf8>, <function sig.<locals>.sig_fun at 0x7f087309ac80>, <function sig.<locals>.sig_fun at 0x7f087309ad90>)"
98,98,8.1466770079085,"(<function rbf.<locals>.rbf_fun at 0x7f08730af158>, <function rbf.<locals>.rbf_fun at 0x7f08730af1e0>, <function rbf.<locals>.rbf_fun at 0x7f08730af378>)"
99,99,6.84805872112133,"(<function sig.<locals>.sig_fun at 0x7f08730af840>, <function sig.<locals>.sig_fun at 0x7f08730af8c8>, <function sig.<locals>.sig_fun at 0x7f08730af9d8>)"
100,100,17.775732754754852,"(<function rbf.<locals>.rbf_fun at 0x7f08730afd08>, <function rbf.<locals>.rbf_fun at 0x7f08730afd90>, <function rbf.<locals>.rbf_fun at 0x7f08730aff28>)"
101,101,6.515040311496299,"(<function poly.<locals>.poly_fun at 0x7f087303d268>, <function sig.<locals>.sig_fun at 0x7f087303d488>, <function sig.<locals>.sig_fun at 0x7f087303d510>)"
102,102,17.222001216623866,"(<function sig.<locals>.sig_fun at 0x7f087303da60>, <function sig.<locals>.sig_fun at 0x7f087303dae8>, <function sig.<locals>.sig_fun at 0x7f087303dbf8>)"
103,103,35.534215890906694,"(<function rbf.<locals>.rbf_fun at 0x7f087303df28>, <function sig.<locals>.sig_fun at 0x7f08730540d0>, <function sig.<locals>.sig_fun at 0x7f0873054158>)"
104,104,7.309584464903735,"(<function rbf.<locals>.rbf_fun at 0x7f0873054598>, <function sig.<locals>.sig_fun at 0x7f08730546a8>, <function sig.<locals>.sig_fun at 0x7f0873054730>)"
105,105,14.479552080581312,"(<function rbf.<locals>.rbf_fun at 0x7f0873054b70>, <function rbf.<locals>.rbf_fun at 0x7f0873054bf8>, <function sig.<locals>.sig_fun at 0x7f0873054c80>)"
106,106,16.9543113213449,"(<function sig.<locals>.sig_fun at 0x7f08730692f0>, <function sig.<locals>.sig_fun at 0x7f0873069378>, <function sig.<locals>.sig_fun at 0x7f0873069488>)"
107,107,6.209952703940118,"(<function lin.<locals>.lin_fun at 0x7f0873054ea0>, <function sig.<locals>.sig_fun at 0x7f08730698c8>, <function sig.<locals>.sig_fun at 0x7f0873069950>)"
108,108,20.436718257198113,"(<function sig.<locals>.sig_fun at 0x7f0873069ea0>, <function sig.<locals>.sig_fun at 0x7f0873069f28>, <function sig.<locals>.sig_fun at 0x7f0872ff80d0>)"
109,109,56.04931202405405,"(<function rbf.<locals>.rbf_fun at 0x7f0872ff8400>, <function rbf.<locals>.rbf_fun at 0x7f0872ff8488>, <function rbf.<locals>.rbf_fun at 0x7f0872ff8620>)"
110,110,8.006475855345192,"(<function sig.<locals>.sig_fun at 0x7f0872ff8ae8>, <function sig.<locals>.sig_fun at 0x7f0872ff8b70>, <function sig.<locals>.sig_fun at 0x7f0872ff8c80>)"
111,111,46.98956132368764,"(<function sig.<locals>.sig_fun at 0x7f087300d158>, <function sig.<locals>.sig_fun at 0x7f087300d1e0>, <function sig.<locals>.sig_fun at 0x7f087300d2f0>)"
